ClientID,CompanyNameOriginal,CompanyNameNormalized,BusinessStreet1,BusinessStreet2,BusinessCity,BusinessState,BusinessPostalCode,MainPhone,EmailAddress,WebPage,ClientNotes
PLACEHOLDER_da89fa43,3129 Augusta LLC (Placeholder),3129 augusta placeholder,,,,,,,,,Placeholder record created for unmatched case HIFI039 (Original Owner: 3129 Augusta LLC)
PLACEHOLDER_68a0d568,Bee Zee Properties LLC (Placeholder),bee zee placeholder,,,,,,,,,Placeholder record created for unmatched case MLC091 (Original Owner: Bee Zee Properties LLC)
PLACEHOLDER_65f7e571,Harding Building Group (Placeholder),harding building placeholder,,,,,,,,,Placeholder record created for unmatched case MLC092 (Original Owner: Harding Building Group)
PLACEHOLDER_8913f7a9,Ivy Park Homes (Placeholder),ivy park homes placeholder,,,,,,,,,Placeholder record created for unmatched case MLC093 (Original Owner: Ivy Park Homes)
PLACEHOLDER_82c92203,Ivy Park Homes (Placeholder),ivy park homes placeholder,,,,,,,,,Placeholder record created for unmatched case MLC094 (Original Owner: Ivy Park Homes)
PLACEHOLDER_ac6641d6,Ivy Park Homes (Placeholder),ivy park homes placeholder,,,,,,,,,Placeholder record created for unmatched case MLC095 (Original Owner: Ivy Park Homes)
PLACEHOLDER_fa0902d0,Paulina Investment Group LLC (Placeholder),paulina investment placeholder,,,,,,,,,Placeholder record created for unmatched case MLC096 (Original Owner: Paulina Investment Group LLC)
PLACEHOLDER_610db9d7,804 PROPERTIES LLC (Placeholder),804 placeholder,,,,,,,,,Placeholder record created for unmatched case CKO024 (Original Owner: 804 PROPERTIES LLC)
PLACEHOLDER_be72ad39,804 PROPERTIES LLC (Placeholder),804 placeholder,,,,,,,,,Placeholder record created for unmatched case CKO025 (Original Owner: 804 PROPERTIES LLC)
PLACEHOLDER_50dd4628,LAGNIAPPE PROPERTY HOLDINGS IL L.L.C.‎‎‎‎ (Placeholder),lagniappe il l l c ‎‎‎‎ placeholder,,,,,,,,,Placeholder record created for unmatched case CKO026 (Original Owner: LAGNIAPPE PROPERTY HOLDINGS IL L.L.C.‎‎‎‎)
PLACEHOLDER_b2a2d06f,3548 W 15TH STREET LLC (Placeholder),3548 w 15th street placeholder,,,,,,,,,Placeholder record created for unmatched case CKO027 (Original Owner: 3548 W 15TH STREET LLC)
PLACEHOLDER_c22627a8,NEW VISION DEV CORP (Placeholder),new vision dev placeholder,,,,,,,,,Placeholder record created for unmatched case CKO028 (Original Owner: NEW VISION DEV CORP)
PLACEHOLDER_8c70d4d9,NOTICE OWNER (Placeholder),notice owner placeholder,,,,,,,,,Placeholder record created for unmatched case File # (Original Owner: NOTICE OWNER)
PLACEHOLDER_bd8462ca,Ivy Park Homes (Placeholder),ivy park homes placeholder,,,,,,,,,Placeholder record created for unmatched case MLC097 (Original Owner: Ivy Park Homes)
PLACEHOLDER_6edb3a49,Ivy Park Homes (Placeholder),ivy park homes placeholder,,,,,,,,,Placeholder record created for unmatched case MLC098 (Original Owner: Ivy Park Homes)
PLACEHOLDER_08529584,Ivy Park Homes (Placeholder),ivy park homes placeholder,,,,,,,,,Placeholder record created for unmatched case MLC099 (Original Owner: Ivy Park Homes)
PLACEHOLDER_a5a38cc8,Ivy Park Homes (Placeholder),ivy park homes placeholder,,,,,,,,,Placeholder record created for unmatched case MLC100 (Original Owner: Ivy Park Homes)
PLACEHOLDER_55124bc0,Ivy Park Homes (Placeholder),ivy park homes placeholder,,,,,,,,,Placeholder record created for unmatched case MLC101 (Original Owner: Ivy Park Homes)
PLACEHOLDER_1dd07491,Ivy Park Homes (Placeholder),ivy park homes placeholder,,,,,,,,,Placeholder record created for unmatched case MLC102 (Original Owner: Ivy Park Homes)
PLACEHOLDER_b5f0d3bd,Ivy Park Homes (Placeholder),ivy park homes placeholder,,,,,,,,,Placeholder record created for unmatched case MLC103 (Original Owner: Ivy Park Homes)
PLACEHOLDER_5179ad57,6657 N Clark LLC (Placeholder),6657 n clark placeholder,,,,,,,,,Placeholder record created for unmatched case SPM025 (Original Owner: 6657 N Clark LLC)
PLACEHOLDER_3400a52d,Ivy Park Homes (Placeholder),ivy park homes placeholder,,,,,,,,,Placeholder record created for unmatched case MLC104 (Original Owner: Ivy Park Homes)
PLACEHOLDER_9e1cb8b3,Ivy Park Homes (Placeholder),ivy park homes placeholder,,,,,,,,,Placeholder record created for unmatched case MLC105 (Original Owner: Ivy Park Homes)
PLACEHOLDER_1005a6a1,4522 CALUMET LLC (Placeholder),4522 calumet placeholder,,,,,,,,,Placeholder record created for unmatched case CKO029 (Original Owner: 4522 CALUMET LLC)
PLACEHOLDER_ba3b3b8c,5000 W 45TH STREET (Placeholder),5000 w 45th street placeholder,,,,,,,,,Placeholder record created for unmatched case CKO030 (Original Owner: 5000 W 45TH STREET)
PLACEHOLDER_38dc661b,15TH AVE PROP LLC (Placeholder),15th ave prop placeholder,,,,,,,,,Placeholder record created for unmatched case CKO031 (Original Owner: 15TH AVE PROP LLC)
PLACEHOLDER_487f79f9,15TH AVE PROP LLC (Placeholder),15th ave prop placeholder,,,,,,,,,Placeholder record created for unmatched case CKO032 (Original Owner: 15TH AVE PROP LLC)
PLACEHOLDER_ec38129f,804 PROPERTIES LLC (Placeholder),804 placeholder,,,,,,,,,Placeholder record created for unmatched case CKO033 (Original Owner: 804 PROPERTIES LLC)
PLACEHOLDER_233bf426,Diversey Kilbourn LLC (Placeholder),diversey kilbourn placeholder,,,,,,,,,Placeholder record created for unmatched case CM002 (Original Owner: Diversey Kilbourn LLC)
PLACEHOLDER_29f0f328,Deshe Real Estate Group LLC (Placeholder),deshe real estate placeholder,,,,,,,,,Placeholder record created for unmatched case APC052 (Original Owner: Deshe Real Estate Group LLC)
PLACEHOLDER_43e76995,Ivy Park Homes (Placeholder),ivy park homes placeholder,,,,,,,,,Placeholder record created for unmatched case MLC106 (Original Owner: Ivy Park Homes)
PLACEHOLDER_83606762,Ivy Park Homes (Placeholder),ivy park homes placeholder,,,,,,,,,Placeholder record created for unmatched case MLC107 (Original Owner: Ivy Park Homes)
PLACEHOLDER_d2cba011,Ivy Park Homes (Placeholder),ivy park homes placeholder,,,,,,,,,Placeholder record created for unmatched case MLC108 (Original Owner: Ivy Park Homes)
PLACEHOLDER_744c912d,Ivy Park Homes (Placeholder),ivy park homes placeholder,,,,,,,,,Placeholder record created for unmatched case MLC109 (Original Owner: Ivy Park Homes)
PLACEHOLDER_cad741ba,Paxton Jackson LLC (Placeholder),paxton jackson placeholder,,,,,,,,,Placeholder record created for unmatched case HIFI040 (Original Owner: Paxton Jackson LLC)
PLACEHOLDER_5cd3dfe4,6901-6949 S Paxton LLC (Placeholder),6901 6949 s paxton placeholder,,,,,,,,,Placeholder record created for unmatched case HIFI041 (Original Owner: 6901-6949 S Paxton LLC)
PLACEHOLDER_810c0ee4,Ivy Park Homes (Placeholder),ivy park homes placeholder,,,,,,,,,Placeholder record created for unmatched case MLC110 (Original Owner: Ivy Park Homes)
PLACEHOLDER_984d4ce0,Ivy Park Homes (Placeholder),ivy park homes placeholder,,,,,,,,,Placeholder record created for unmatched case MLC111 (Original Owner: Ivy Park Homes)
PLACEHOLDER_97d0e4ae,Jackson Park Portfolio LLC (Placeholder),jackson park portfolio placeholder,,,,,,,,,Placeholder record created for unmatched case HIFI042 (Original Owner: Jackson Park Portfolio LLC)
PLACEHOLDER_47fb1aaa,Mayra Olmedo (Placeholder),mayra olmedo placeholder,,,,,,,,,Placeholder record created for unmatched case FB001 (Original Owner: Mayra Olmedo)
PLACEHOLDER_aa2bd98d,Ivy Park Homes (Placeholder),ivy park homes placeholder,,,,,,,,,Placeholder record created for unmatched case MLC112 (Original Owner: Ivy Park Homes)
PLACEHOLDER_9f1418e1,Ivy Park Homes (Placeholder),ivy park homes placeholder,,,,,,,,,Placeholder record created for unmatched case MLC113 (Original Owner: Ivy Park Homes)
PLACEHOLDER_dac6707e,Ivy Park Homes (Placeholder),ivy park homes placeholder,,,,,,,,,Placeholder record created for unmatched case MLC114 (Original Owner: Ivy Park Homes)
PLACEHOLDER_a4fadb57,Ivy Park Homes (Placeholder),ivy park homes placeholder,,,,,,,,,Placeholder record created for unmatched case MLC115 (Original Owner: Ivy Park Homes)
PLACEHOLDER_78fb2243,Ivy Park Homes (Placeholder),ivy park homes placeholder,,,,,,,,,Placeholder record created for unmatched case MLC116 (Original Owner: Ivy Park Homes)
PLACEHOLDER_0f4f611f,6901-6949 S Paxton LLC (Placeholder),6901 6949 s paxton placeholder,,,,,,,,,Placeholder record created for unmatched case HIFI043 (Original Owner: 6901-6949 S Paxton LLC)
PLACEHOLDER_8b1be6da,6901-6949 S Paxton LLC (Placeholder),6901 6949 s paxton placeholder,,,,,,,,,Placeholder record created for unmatched case HIFI044 (Original Owner: 6901-6949 S Paxton LLC)
PLACEHOLDER_050f64aa,Deshe Real Estate Group LLC (Placeholder),deshe real estate placeholder,,,,,,,,,Placeholder record created for unmatched case APC038 (Original Owner: Deshe Real Estate Group LLC)
PLACEHOLDER_7cec7b26,Ivy Park Homes (Placeholder),ivy park homes placeholder,,,,,,,,,Placeholder record created for unmatched case MLC117 (Original Owner: Ivy Park Homes)
PLACEHOLDER_68424d16,Ivy Park Homes (Placeholder),ivy park homes placeholder,,,,,,,,,Placeholder record created for unmatched case MLC118 (Original Owner: Ivy Park Homes)
PLACEHOLDER_b3a2ff6f,Ivy Park Homes (Placeholder),ivy park homes placeholder,,,,,,,,,Placeholder record created for unmatched case MLC119 (Original Owner: Ivy Park Homes)
PLACEHOLDER_93de1607,Ivy Park Homes (Placeholder),ivy park homes placeholder,,,,,,,,,Placeholder record created for unmatched case MLC010 (Original Owner: Ivy Park Homes)
PLACEHOLDER_5ac3aead,6901-6949 S Paxton LLC (Placeholder),6901 6949 s paxton placeholder,,,,,,,,,Placeholder record created for unmatched case HIFI045 (Original Owner: 6901-6949 S Paxton LLC)
PLACEHOLDER_9e46862d,6901-6949 S Paxton LLC (Placeholder),6901 6949 s paxton placeholder,,,,,,,,,Placeholder record created for unmatched case HIFI046 (Original Owner: 6901-6949 S Paxton LLC)
PLACEHOLDER_8e65f5d1,6901-6949 S Paxton LLC (Placeholder),6901 6949 s paxton placeholder,,,,,,,,,Placeholder record created for unmatched case HIFI047 (Original Owner: 6901-6949 S Paxton LLC)
PLACEHOLDER_4d167f9f,Wolf Investments (Placeholder),wolf placeholder,,,,,,,,,Placeholder record created for unmatched case MLC120 (Original Owner: Wolf Investments)
PLACEHOLDER_dc19d5f6,Wolf Investments (Placeholder),wolf placeholder,,,,,,,,,Placeholder record created for unmatched case MLC121 (Original Owner: Wolf Investments)
PLACEHOLDER_29ee3eea,123 Central investment group LLC (Placeholder),123 central investment placeholder,,,,,,,,,Placeholder record created for unmatched case MLC122 (Original Owner: 123 Central investment group LLC)
PLACEHOLDER_5b509dd8,123 Central investment group LLC (Placeholder),123 central investment placeholder,,,,,,,,,Placeholder record created for unmatched case MLC123 (Original Owner: 123 Central investment group LLC)
PLACEHOLDER_07b9d2ac,Sweet Home Properties (Placeholder),sweet home placeholder,,,,,,,,,Placeholder record created for unmatched case MLC124 (Original Owner: Sweet Home Properties)
PLACEHOLDER_54796aa6,Ivy Park Homes (Placeholder),ivy park homes placeholder,,,,,,,,,Placeholder record created for unmatched case MLC125 (Original Owner: Ivy Park Homes)
PLACEHOLDER_641ed8ad,Ivy Park Homes (Placeholder),ivy park homes placeholder,,,,,,,,,Placeholder record created for unmatched case MLC126 (Original Owner: Ivy Park Homes)
PLACEHOLDER_60ddf2d9,Ivy Park Homes (Placeholder),ivy park homes placeholder,,,,,,,,,Placeholder record created for unmatched case MLC127 (Original Owner: Ivy Park Homes)
PLACEHOLDER_0c3abf77,Ivy Park Homes (Placeholder),ivy park homes placeholder,,,,,,,,,Placeholder record created for unmatched case MLC128 (Original Owner: Ivy Park Homes)
PLACEHOLDER_cf0c2bb8,Symphony Holdings LLC (Placeholder),symphony placeholder,,,,,,,,,Placeholder record created for unmatched case SPM026 (Original Owner: Symphony Holdings LLC)
PLACEHOLDER_9beed426,4363 N Kenmore LLC (Placeholder),4363 n kenmore placeholder,,,,,,,,,Placeholder record created for unmatched case SPM027 (Original Owner: 4363 N Kenmore LLC)
PLACEHOLDER_e9a6d230,6901-6949 S Paxton LLC (Placeholder),6901 6949 s paxton placeholder,,,,,,,,,Placeholder record created for unmatched case HIFI048 (Original Owner: 6901-6949 S Paxton LLC)
PLACEHOLDER_18d2e3ea,Graziella Gemmellaro (Placeholder),graziella gemmellaro placeholder,,,,,,,,,Placeholder record created for unmatched case JG001 (Original Owner: Graziella Gemmellaro)
PLACEHOLDER_9361879a,"7300 North Avenue, LP (Placeholder)",7300 north avenue placeholder,,,,,,,,,"Placeholder record created for unmatched case PM005 (Original Owner: 7300 North Avenue, LP)"
PLACEHOLDER_2b472241,"110 N Kenilwort, LLC (Placeholder)",110 n kenilwort placeholder,,,,,,,,,"Placeholder record created for unmatched case PM006 (Original Owner: 110 N Kenilwort, LLC)"
PLACEHOLDER_f14c15bb,Deshe at Knox LLC (Placeholder),deshe at knox placeholder,,,,,,,,,Placeholder record created for unmatched case APC055 (Original Owner: Deshe at Knox LLC)
PLACEHOLDER_f6b2cfae,Deshe at Knox LLC (Placeholder),deshe at knox placeholder,,,,,,,,,Placeholder record created for unmatched case APC058 (Original Owner: Deshe at Knox LLC)
PLACEHOLDER_a89780b0,4823 W 157th Street LLC (Placeholder),4823 w 157th street placeholder,,,,,,,,,Placeholder record created for unmatched case APC060 (Original Owner: 4823 W 157th Street LLC)
PLACEHOLDER_884e401c,Bee Zee Properties LLC (Placeholder),bee zee placeholder,,,,,,,,,Placeholder record created for unmatched case MLC129 (Original Owner: Bee Zee Properties LLC)
PLACEHOLDER_9f6a56ef,Bee Zee Properties LLC (Placeholder),bee zee placeholder,,,,,,,,,Placeholder record created for unmatched case MLC130 (Original Owner: Bee Zee Properties LLC)
PLACEHOLDER_076aa2aa,Fargo Inv LLC (Placeholder),fargo inv placeholder,,,,,,,,,Placeholder record created for unmatched case MLC131 (Original Owner: Fargo Inv LLC)
PLACEHOLDER_9cf4af7a,3734 West Lawrence LLC (Placeholder),3734 west lawrence placeholder,,,,,,,,,Placeholder record created for unmatched case HIFI049 (Original Owner: 3734 West Lawrence LLC)
PLACEHOLDER_31dead4c,3734 West Lawrence LLC (Placeholder),3734 west lawrence placeholder,,,,,,,,,Placeholder record created for unmatched case HIFI050 (Original Owner: 3734 West Lawrence LLC)
PLACEHOLDER_b5790e29,Park Ainslie LLC (Placeholder),park ainslie placeholder,,,,,,,,,Placeholder record created for unmatched case HIFI051 (Original Owner: Park Ainslie LLC)
PLACEHOLDER_73edb24b,6901-6949 S Paxton LLC (Placeholder),6901 6949 s paxton placeholder,,,,,,,,,Placeholder record created for unmatched case HIFI052 (Original Owner: 6901-6949 S Paxton LLC)
PLACEHOLDER_ccc8e695,6901-6949 S Paxton LLC (Placeholder),6901 6949 s paxton placeholder,,,,,,,,,Placeholder record created for unmatched case HIFI053 (Original Owner: 6901-6949 S Paxton LLC)
PLACEHOLDER_61e335ef,6901-6949 S Paxton LLC (Placeholder),6901 6949 s paxton placeholder,,,,,,,,,Placeholder record created for unmatched case HIFI054 (Original Owner: 6901-6949 S Paxton LLC)
PLACEHOLDER_79b7ea97,6901-6949 S Paxton LLC (Placeholder),6901 6949 s paxton placeholder,,,,,,,,,Placeholder record created for unmatched case HIFI055 (Original Owner: 6901-6949 S Paxton LLC)
PLACEHOLDER_bce0b9aa,Metroplex Investment LLC (Placeholder),metroplex investment placeholder,,,,,,,,,Placeholder record created for unmatched case CKO037 (Original Owner: Metroplex Investment LLC)
PLACEHOLDER_8782eb80,2500 S MILLARD LLC (Placeholder),2500 s millard placeholder,,,,,,,,,Placeholder record created for unmatched case SPM028 (Original Owner: 2500 S MILLARD LLC)
PLACEHOLDER_17a67ec4,Deshe at Knox LLC (Placeholder),deshe at knox placeholder,,,,,,,,,Placeholder record created for unmatched case APC062 (Original Owner: Deshe at Knox LLC)
PLACEHOLDER_1f92c1dc,4823 W 157th Street LLC (Placeholder),4823 w 157th street placeholder,,,,,,,,,Placeholder record created for unmatched case APC063 (Original Owner: 4823 W 157th Street LLC)
PLACEHOLDER_418f6c26,Deshe Real Estate Group LLC (Placeholder),deshe real estate placeholder,,,,,,,,,Placeholder record created for unmatched case APC064 (Original Owner: Deshe Real Estate Group LLC)
PLACEHOLDER_8d4dab4a,Ivy Park Homes (Placeholder),ivy park homes placeholder,,,,,,,,,Placeholder record created for unmatched case MLC132 (Original Owner: Ivy Park Homes)
PLACEHOLDER_bbfcb689,Ivy Park Homes (Placeholder),ivy park homes placeholder,,,,,,,,,Placeholder record created for unmatched case MLC133 (Original Owner: Ivy Park Homes)
PLACEHOLDER_b11a16b4,Ivy Park Homes (Placeholder),ivy park homes placeholder,,,,,,,,,Placeholder record created for unmatched case MLC134 (Original Owner: Ivy Park Homes)
PLACEHOLDER_f3d9e13f,Ivy Park Homes (Placeholder),ivy park homes placeholder,,,,,,,,,Placeholder record created for unmatched case MLC135 (Original Owner: Ivy Park Homes)
PLACEHOLDER_92d22493,Ivy Park Homes (Placeholder),ivy park homes placeholder,,,,,,,,,Placeholder record created for unmatched case MLC136 (Original Owner: Ivy Park Homes)
PLACEHOLDER_8d858531,Ivy Park Homes (Placeholder),ivy park homes placeholder,,,,,,,,,Placeholder record created for unmatched case MLC137 (Original Owner: Ivy Park Homes)
PLACEHOLDER_a4b82363,Ivy Park Homes (Placeholder),ivy park homes placeholder,,,,,,,,,Placeholder record created for unmatched case MLC138 (Original Owner: Ivy Park Homes)
PLACEHOLDER_9523d8c1,Ivy Park Homes (Placeholder),ivy park homes placeholder,,,,,,,,,Placeholder record created for unmatched case MLC139 (Original Owner: Ivy Park Homes)
PLACEHOLDER_47984ef2,"Flossmoor Investment Group, LLC (Placeholder)",flossmoor investment placeholder,,,,,,,,,"Placeholder record created for unmatched case MLC140 (Original Owner: Flossmoor Investment Group, LLC)"
PLACEHOLDER_36fd7980,5655 W Fullerton LLC (Placeholder),5655 w fullerton placeholder,,,,,,,,,Placeholder record created for unmatched case SPM029 (Original Owner: 5655 W Fullerton LLC)
PLACEHOLDER_07c5c0d9,916 W. Diversey LLC (Placeholder),916 w diversey placeholder,,,,,,,,,Placeholder record created for unmatched case SPM030 (Original Owner: 916 W. Diversey LLC)
PLACEHOLDER_3cb101f4,6901-6949 S Paxton LLC (Placeholder),6901 6949 s paxton placeholder,,,,,,,,,Placeholder record created for unmatched case HIFI056 (Original Owner: 6901-6949 S Paxton LLC)
PLACEHOLDER_4da6e643,6901-6949 S Paxton LLC (Placeholder),6901 6949 s paxton placeholder,,,,,,,,,Placeholder record created for unmatched case HIFI057 (Original Owner: 6901-6949 S Paxton LLC)
PLACEHOLDER_45de8949,6901-6949 S Paxton LLC (Placeholder),6901 6949 s paxton placeholder,,,,,,,,,Placeholder record created for unmatched case HIFI058 (Original Owner: 6901-6949 S Paxton LLC)
PLACEHOLDER_36fb80a8,Recon Properties LLC (Placeholder),recon placeholder,,,,,,,,,Placeholder record created for unmatched case RP001 (Original Owner: Recon Properties LLC)
PLACEHOLDER_a43a3ea3,Callan Ave. LLC (Placeholder),callan ave placeholder,,,,,,,,,Placeholder record created for unmatched case MLC141 (Original Owner: Callan Ave. LLC)
PLACEHOLDER_cf1e4d03,Ivy Park Homes (Placeholder),ivy park homes placeholder,,,,,,,,,Placeholder record created for unmatched case MLC142 (Original Owner: Ivy Park Homes)
PLACEHOLDER_b341bdb4,Ivy Park Homes (Placeholder),ivy park homes placeholder,,,,,,,,,Placeholder record created for unmatched case MLC143 (Original Owner: Ivy Park Homes)
PLACEHOLDER_d3147fa8,Ivy Park Homes (Placeholder),ivy park homes placeholder,,,,,,,,,Placeholder record created for unmatched case MLC144 (Original Owner: Ivy Park Homes)
PLACEHOLDER_67e4ebb9,Ivy Park Homes (Placeholder),ivy park homes placeholder,,,,,,,,,Placeholder record created for unmatched case MLC145 (Original Owner: Ivy Park Homes)
PLACEHOLDER_d6df3ee4,Ivy Park Homes (Placeholder),ivy park homes placeholder,,,,,,,,,Placeholder record created for unmatched case MLC146 (Original Owner: Ivy Park Homes)
PLACEHOLDER_dd2997c3,Ivy Park Homes (Placeholder),ivy park homes placeholder,,,,,,,,,Placeholder record created for unmatched case MLC026 (Original Owner: Ivy Park Homes)
PLACEHOLDER_a01be2f2,123 N Central Investment Group LLC (Placeholder),123 n central investment placeholder,,,,,,,,,Placeholder record created for unmatched case MLC147 (Original Owner: 123 N Central Investment Group LLC)
PLACEHOLDER_d1fa985d,Lunt Investment Group (Placeholder),lunt investment placeholder,,,,,,,,,Placeholder record created for unmatched case MLC148 (Original Owner: Lunt Investment Group)
PLACEHOLDER_2bd41d8f,4500 Fullerton LLC (Placeholder),4500 fullerton placeholder,,,,,,,,,Placeholder record created for unmatched case HIFI059 (Original Owner: 4500 Fullerton LLC)
PLACEHOLDER_b46c314c,6901-6949 S Paxton LLC (Placeholder),6901 6949 s paxton placeholder,,,,,,,,,Placeholder record created for unmatched case HIFI060 (Original Owner: 6901-6949 S Paxton LLC)
PLACEHOLDER_39a04acb,6901-6949 S Paxton LLC (Placeholder),6901 6949 s paxton placeholder,,,,,,,,,Placeholder record created for unmatched case HIFI061 (Original Owner: 6901-6949 S Paxton LLC)
PLACEHOLDER_bc685474,4403 W Iowa LLC (Placeholder),4403 w iowa placeholder,,,,,,,,,Placeholder record created for unmatched case SPM031 (Original Owner: 4403 W Iowa LLC)
PLACEHOLDER_50b92c1c,1020 E Hyde Park LLC (Placeholder),1020 e hyde park placeholder,,,,,,,,,Placeholder record created for unmatched case TBG001 (Original Owner: 1020 E Hyde Park LLC)
PLACEHOLDER_acea46da,123 N Central Investment Group LLC (Placeholder),123 n central investment placeholder,,,,,,,,,Placeholder record created for unmatched case MLC149 (Original Owner: 123 N Central Investment Group LLC)
PLACEHOLDER_81614180,4248-4250 Hirsch LLC (Placeholder),4248 4250 hirsch placeholder,,,,,,,,,Placeholder record created for unmatched case MLC150 (Original Owner: 4248-4250 Hirsch LLC)
PLACEHOLDER_bea0553d,7-13 N. Pine Investment Group LLC (Placeholder),7 13 n pine investment placeholder,,,,,,,,,Placeholder record created for unmatched case MLC151 (Original Owner: 7-13 N. Pine Investment Group LLC)
PLACEHOLDER_407cb462,7-13 N. Pine Investment Group LLC (Placeholder),7 13 n pine investment placeholder,,,,,,,,,Placeholder record created for unmatched case MLC152 (Original Owner: 7-13 N. Pine Investment Group LLC)
